Word,Meaning
අපශේෂණය,dis-saving
අපසංස්කෘතිකරණය,deculturation
අපසරණය,breakaway|divergence
අපසර්ජනය,abreaction|expropriation
අපසහායක,accessory|accomplice|collusive
අපසහායකත්වය,complicity
අපසහායකයා,accomplice
අපස්මාරය,catalepsy|epilepsy
අපස්වරය,discord
අපස්‍යන්දනය,effluent
අපස්‍රාවකය,adjutage|ajutage
අපසාමාන්‍ය,abnormal
අපසාරණය,divergence|weeding
අපසාරි,divergent
අපසාරිතාව,divergence
අපසාරී,divergent|diverging
අපසාරීතාව,divergence
අපසාහී,effector
අපසෘතිය,divergence
අපහතය,apoplexy
අපහරණය,abduction|ablation|abstraction|confiscation|deflation|expulsion|getter|kidnapping|ravishment|removal|stealing
අපහසු,cumbersome|cumbrous|difficult|inconvenient|uncomfortable|uneasy|unhandy|untoward
අපහසුකම,regress|regression
අපහසුව,ailment|bother|discomfort|inconvenience|unease
අපහ්නුතිය,reservation
අපහායනය,abklingen|impairment
අපහාරක,efferent
අපහාරකතාව,coercivity
අපහාරකය,gettering
අපහාසය,brickbat|contempt|contumely|defamation|derision|indignity|insult|redicule|reviler
අපහාසාත්මක,calumnious|contemptible|contemptuous|uncomplimentary
අපහේලිකය,perihelion
අප්පා,papa
අප්පේ,alas|oh.
අප්පොච්ව,pater
අප්සරාව,nymph|sylph
අප්‍රකට,concealed|dark|disguised|inconspicuous|inglorious|latent|lurking|obscure|secret|subtle|unknown|unmanifest
අප්‍රකටව,sub-silentio
අප්‍රක්සියාව,apraxia
අප්‍රකාශ,aphotic
අප්‍රකාශක,non-expressive
අප්‍රකාශික,undeclared
අප්‍රකාශිත,concealed|secret|undeclared|undemonstrative|unmanifest
අප්‍රගතිශීලී,stick-in-the-mud
අප්‍රගල්භ,different|diffident|modest|unsophisticated
අප්‍රචලිත,antiquated
අප්‍රත්‍යක්ෂ,invisible|unmanifest
අප්‍රත්‍යවේක්ෂ,unreflective
අප්‍රත්‍යාස්ථ,inelastic
අප්‍රතික්‍රියා,non-reactive
අප්‍රතිකාර,remediless
අප්‍රතිකූල,unopposing
අප්‍රතිග්‍රහණය,non-acceptance
අප්‍රතිනමිත,unreserved
අප්‍රතිපක්ෂ,unopposed
අප්‍රතිපුද්ගල,matchless|unrivalled
අප්‍රතිභාග,matchless|unequalled
අප්‍රතිම,matchless|unequalled
අප්‍රතිමල්ල,matchless|unopposed
අප්‍රතිරූප,dissimilar|incomparable|unsuitable
අප්‍රතිවර්තන,non-recurrent
අප්‍රතිවර්ත්‍ය,irreversible|non-reversible
අප්‍රතිවර්ත්‍යතාව,irreversibility
අප්‍රතිවාදක,non-contentious
අප්‍රතිවාදනීය,incontrovertible
අප්‍රතිවිරෝධය,non-contradiction
අප්‍රතිහත,dauntless|unaffected|unobstructed
අප්‍රතීක,irreflexive
අප්‍රධාන,inferior|minor|second|secondary|side|subordinate|subordinte|subsidiary|unimportant
අප්‍රපතන,persistent
අප්‍රබන්ධ,non-fiction
අප්‍රබුද්ධ,unawakened|undeveloped|unenlightened
අප්‍රමත,abnormal
අප්‍රමත්ත,alert|vigilant
අප්‍රමතිය,abnormality
අප්‍රමාණ,boundless|countless|immense|infinite|innumerable|measureless|untold
අප්‍රමාණවත්,insubstantial
අප්‍රමාණිකෘත,unliquidated
අප්‍රමාද,assiduous|diligent|heedful|immediate|prompt|swift|vigilant
අප්‍රමාදය,advertence|care|promptitude|promptness
අප්‍රමාදව,directly|prompt|pronto|unhesitating
අප්‍රමාදී,assiduous|earnest|forward|ready|speedy
අප්‍රමාදීභාවය,earnestness
අප්‍රමේය,boundless|immeasurable|unending
අප්‍රයෝජන,unprofitable|useless
අප්‍රයෝජනය,non-user
අප්‍රයෝජ්‍යතාව,apraxia
අප්‍රලම්භ,undelaying
අප්‍රවේසම,carelessness|heedlessness
අප්‍රසන්න,crappy|crummy|disagreeable|displeased|eldritch|hard|offensive|sinister|sour|traumatic|undesirable|unlovely|unpalatable|unpleasant|unsavory|unsavoury
අප්‍රසන්නකම,annoyance|nastiness
අප්‍රසන්නතාව,ugliness|unpleasantness
අප්‍රසන්නභාවය,cloud
අප්‍රසාදය,censure|chagrin|disapproval|dislike|displeasure
අප්‍රසිද්ධ,nameless|obscure|private|remote|retired|uncelebrated|unknown|unpopular
අප්‍රසිද්ධිය,obscurity|privacy
අප්‍රාණික,abiotic|dead|impotent|inanimate|insentient|lifeless
අප්‍රාධිකාර,unauthorised
අප්‍රාධිකෘත,apocryphal
අප්‍රාප්ත,unattended
අප්‍රාප්තිය,absence
අප්‍රාප්තියා,absentee
අප්‍රාප්‍ය,unattainable
අප්‍රාප්‍යතාව,unattainability
අප්‍රායෝජ්‍ය,impracticable
අප්‍රිකා,afro
අප්‍රිකානු,african
අප්‍රිකානුවා,african
අප්‍රිකාව,africa
අප්‍රිය,antipathetic|disagreeable|disagreeble|disgust|dislike|distasteful|irksome|irritable|obnoxious|queasy|stiff|uninbiting|unpalatable|unpleasant|unwelcome
අප්‍රියකම,distaste|ennui
අප්‍රියකර,forbidding|obnoxious
අප්‍රියජනක,abhorrent
අප්‍රේල්,april
අප්‍රෝටෝනීය,aprotic
අපා,evil|footless|hellish
අපාංග,crippled|maimed
අපාක,raw|uncooked|unripe
අපාක්ෂිකත්වය,impartiality
අපාගත,infernal|lost
අපාටව,immature|unskilled
අපාඨ්‍යතාව,alexia
අපාණ්ඩපික,apocarpous
අපාණ්ඩපිකතාව,apocarpy
අපාතිකයා,casualty
අපාද,footless
අපාදක,footless
අපානය,anus
අපාය,blazes|hell|underworld
අපාර,abysmal|abyssal|aperiron|shoreless|unlimited
අපාරගම්‍ය,impenetrable|impermeable|impervious
අපාරගාමකය,impermeator
අපාරතාපක,adiathermanous
අපාලිත,uncontrolled
අපාවිත,unexpurgated
අපි,our|we
අපිකන්දකය,epicondyle
අපිකපාටය,epivalva|epivalve
අපිකේන්ද්‍රය,epicentre
අපිකොටීල,epicotyl|epicotyledonary
අපිචක්‍රය,epicycle
අපිචක්‍රාභය,epicycloid
අපිචඡදය,epithelium
අපිචර්ම,epidermis
අපිචර්මය,epidermis
අපිචර්මීය,epidermal
අපිච්ඡදය,epitheliium|epithelium
අපිච්ඡවිය,epiblema
අපිචාර්තුලිකාභය,epitrochoid
අපිජඨර,epigastric
අපිජඨරක,epigastric
අපිජඨරය,epigastrium
අපිජනක,epigenetic
අපිජනනය,epigenesis
අපිජන්තු,epizoic|epizous
අපිජාතයා,epigon
අපිජායාංග,epigynous
අපිජායාංගිතාව,epigyny
අපිජීහ්විකාව,epiglottis
අපිතැලමස,emithalamus
අපිතිමිරායකය,episcotister
අපිතීම,epithemata
අපිතීමය,epithem
අපිදල,epipetalous
අපිධානය,cover|lid
අපිනාමය,eponym
අපිනාමිකයා,eponym
අපිනිකර්පරය,epencephalon
අපිපත්‍රශාකය,epiphyll
අපිපත්‍රී,epiphyllous|foliicolous
අපිපර්යන්තික,epiperepheral
අපිපරිඩිය,epiperidium|exoperidium
අපිප්ලාස්මය,epiplasm
අපිප්ලුරාව,epipleura
අපිප්‍රාචීරය,epiphragm
අපිපේටික,epithecal
අපිපේටිකාව,epitheca
අපිභූතිය,cerebri|epiphysis
අපිභෞම,epigeal|epigeous
අපිම,ourselves
අපිමණිපත්‍රී,episepalous
අපිමුනි,last-in-first-out|lifo
අපිමුල,epirhizous
අපිමෙතිය,epimatium
අපිරිමිත,infinite
අපිරිසිදු,dirty|impure|nasty|scruffy|sleazy|unclean|unhygienic|untidy
අපිරිසිදුකම,dirtiness
අපිරිසුදු,impure|insanitary|messy|squalid|unclean|untidy
අපිරුහිතය,epiphysis
අපිලාභය,epinosia
අපිවිකර්ෂය,epispadias
අපිවිඛාසකය,epigastrium
අපිවේදක,epicritic
අපිශාක,epiphytic
අපිශාකතාව,epiphytism
අපිශාකය,epiphyte
අපිසන්නමන,epinastic
අපිසන්නමනය,dorsinasty|epinasty
අපිස්,contended
අපිස්ඵොරණය,epispasticus
අපිස්‍යන්දය,epiphora|epistaxis
අපිහ්විකාව,epiglottis
අපිළිවෙළ,disorder
අපිළිවෙළට,desultorily
අපිළිසරණ,destitute|helpless
අපුත්‍රක,sonless
අපුති,aseptic
අපුද්ගල,impersonal
අපුද්ගලවාදය,impersonalism
අපුද්ගලායනය,depersonalization
අපුද්ගලිකත්වය,impersonality
අපුර්ව,curious
අපුල,disgusting|loathsome
අපුල්ලනවා,beat
අපුල්ලන්නා,washer|washerman
අපූර්ණ,imperfect|incomplete
අපූර්ණතාව,imperfection
අපූර්ව,extraordinary|magic|magical|marvellous|original|remarkable|signal|singular|strange|unprecedented|wonderful
අපූර්වත්වය,originality
අපූර්වතා,singularities
අපූර්වතාව,singularity
අපූරිතය,ebauche
අපූරු,curious|marvellous|quaint|rum|wonderful
අපූරුකම,strangeness
අපූරුව,singularity
අපෘෂ්ඨවංශී,invertebrata
අපෙක්ෂාව,aim
අපේ,our|unprecedented
අපේක්ෂකත්වය,candidature
අපේක්ෂකයා,aspirant|candidate
අපේක්ෂණය,anticipation|expectation
අපේක්ෂාව,anticipation|aspiration|desire|expectance|expectancy|expectation|hope|prospect|relativity
අපේක්ෂාසහිත,sanguine
අපේක්ෂිත,desired|expected
අපේරණ,aberrant
අපේරණය,abberration|aberration
අපොයි,alas|oh|oops|ow
අපොලෝනියානු,apollonian
අපොහොසත්,incapable|incompetent|poor
අපොහොසත්කම,disability|incapacity|inefficiency
අපොළනය,clapper
අපොළනවා,applaud
අපෝත්සාහනය,incitement
අපෝෂිත,starved
අපෝසත්,incapable|poor
අපෝහක,dialectic
අපෝහකය,dialectic|diaphoretic
අපෝහකයා,dialectician
අපෝහකවාදය,dialectics
අපෝහකවාදී,dialectic
අපෝහන,deductive
අපෝහනය,deduction|reasoning
අපෝහනීය,deducible|deductive
අපෝහවාදී,dialectic
අපෞරුෂත්වය,impersonality
අඵල,barren|fruitless
අඵාසුව,discomfort|sickness
අබ,brassica|juncea|mestard|mustard
අබක,abaca|snare
අබග්ගය,mishap
අබද්ධ,detached|unbound|unfettered
අබද්ධය,detachment
අබබ්බයා,wretch
අබය,fearless|safe
අබරණ,jewellery|ornament
අබල,feeble|inert|weak
අබලකාරක,disabling
අබලතාව,disability
අබලදුබලබව,infirmity
අබලන්,decayed|feeble|frazzle|old|weak
අබල්‍යතාව,aboulia|abulia
අබලි,damaged|feeble|waste|weak
අබ්බගාතයා,cripple
අබ්බාගාත,lame|maimed
අබ්බාගාතයා,cripple
අබ්‍යාකත,indeterminate
අබ්‍රහ්මචරියාව,unchastity
අබාධ,clear|free|unimpeded|unobstructed
අබාධිත,absolute|free|infirmity
අබැට,iota
අබිං,opium
අබිංසොජුව,opiumism
අබික්සු,detective
අබික්සුම,detection
අබිදැක්ම,interview
අබිනව,latest
අබින්,opium
අබින්‍යක්ත,opiate
අබිබනවා,supercede
අබිබෙලය,prepotence|prepotency
අබිමන්,pride
අබිමාදකය,acronarcotic
අබිමුව,facing|opposite
අබියස,presence
අබියෙටික,abietic
අබිරහස,covert|mystery
අබිරහස්,covert|cryptic
අබිසරුලිය,courtesan
අබුද්ධික,unreasonable
අබූත,false|unfounded
අබෙවිලියානු,abbevillian
අබෞද්ධ,non-buddhistic
අබෞද්ධයා,non-buddist
අභද්‍ර,fearless|safe
අභය,fearless|safe
අභයදානය,mercy
අභයභූමිය,preserve|sanctuary
අභයස්ථානය,sanctuary
අභරණය,array
අභරතිය,concupiscence
අභව්‍ය,incapable|miserable|unfit
අභ්‍යංජකය,lubricant
අභ්‍යංජනය,emollient|lubrication
අභ්‍යක්ෂ,adaxial
අභ්‍යගත,exotic
අභ්‍යඤ්ජකය,lubricant
අභ්‍යඤ්ජනය,inunction|lubrication
අභ්‍යදය,betterment|progress|prosperity
අභ්‍යනතර,internal
අභ්‍යන්තර,domestic|inner|interior|internal|intestine|intimate|intra|inward
අභ්‍යන්තරය,bosom|bowels|interior|within
අභ්‍යන්තරාවරණය,endocarp
අභ්‍යන්තරීකරණය,internalization
අභ්‍යපගත,assumed
අභ්‍යපගතය,assumption|supposal
අභ්‍යපගමනය,assumption|supposition
අභ්‍යපගමය,suppositio|supposition
අභ්‍යපගමික,suppositious
අභ්‍යර්ථ,considerations
අභ්‍යවකාශගාමියා,astronaut|cosmonaut
අභ්‍යවකාශය,space
අභ්‍යසනය,training
අභ්‍යහන,inductive
අභ්‍යහනය,induction
අභ්‍යාගමනය,visitation
අභ්‍යාගාමියා,visitor
අභ්‍යාගාමී,visitorial
අභ්‍යාධානය,appetention
අභ්‍යාවකාශගාමියා,astronaut
අභ්‍යාසය,exercise|practice|study|training
අභ්‍යාසලාභිත්වය,apprenticeship
අභ්‍යාසලාභියා,apprentice|trainee
අභ්‍යාසියා,garzone|trainee
අභ්‍රක,cloudy|mica
අභ්‍රමණීය,irrotational
අභ්‍රමශීලී,infallible
අභ්‍රය,cloud
අභාග්‍ය,miserable|unfortunate
අභාජ්‍ය,indivisible
අභාජ්‍යතාව,indivisibility
අභාවගත,extinct
අභාවප්‍රාප්ත,deceased|defunct|extinct
අභාවප්‍රාප්තිය,demise
අභාවය,death|extinction|lack|negative|non-existence|nothing|nothingness|oblivion
අභාවවාචක,negative
අභාවිත,disused|obsolete|undeveloped|untrained|unused
අභාවිතය,desuetude|disuse|obsolescence
අභාවිතිය,disuse
අභාවී,extinctive
අභාෂ්‍යතාව,aphasia
අභාසවත්,fallacious
අභාස්වර,sombre
අභි,super|to|towards
අභික්ෂක,detective
අභික්ෂණය,detection
අභික්ෂෝභක,insurgent
අභික්ෂෝභය,insurgency
අභික්‍රමණය,advance|approach|obtrude
අභිගතය,lemma
අභිඝට්ටනය,show-down
අභිඝාතය,overrun
අභිචාරය,magic
අභිචාරිකාව,courtesan|courtezan
අභිචාරියා,magician
අභිචේතනය,motivation
අභිචෝදකයා,prosecutor
අභිචෝදන,prosecuting
අභිචෝදනය,prosecution
අභිචෝදිකාව,prosecutrix
අභිජනනය,breed|breeding|reproduction
අභිජාත,aristocratic
අභිජාතතාව,nobility
අභිජාතිය,breed
අභිජානතාව,nobility
අභිඥාන,noetic
අභිඥානය,noema|recognition
අභිඥානික,noematic
අභිඥායනය,identification
අභිඥෙයතාව,identifiability
අභිද්‍රෝහත්වය,insurgency
අභිද්‍රෝහය,insurrection
අභිද්‍රෝහියා,insurgent
අභිදිශාව,sense
අභිදේශකත්වය,oratory
අභිදේශකයා,orator
අභිදේශනය,oration
අභිධර්මය,metaphysics
අභිධ්‍යාව,covetousness
අභිධා,designation|name
අභිධාන,denominations
අභිධානය,appellation|connotation|denomination|denotation|designation|name|predication|rubric|title
අභිධානසූවක,denotative
අභිධානාර්ථය,denotation
අභිධේය,referent
අභිනත,biassed
අභිනතිය,bias|dip
අභිනන්දන,felicific
අභිනන්දනය,applaud|applause|compliment|delight|eulogy|felicitation|greeting|praise
අභිනය,acting|action|expression|gesticulation|gesture|histrionics
අභිනයනය,adduction|enactment
අභිනව,modern|new
අභිනවන,refreshing
අභිනවයෙන්,afresh|anew|newly
අභින්න,continuous|unbroken|unitary
අභිනායක,adductor
අභිනායකය,adducter
අභිනියුක්තිය,vocation
අභිනියෝගය,mandate
අභිනියෝජනය,delegation
අභිනියෝජිත,delegated
අභිනියෝජිතයා,delegate|delegated
අභිනිර්ණක,adjudicator
අභිනිර්ණය,adjudication
අභිනිර්මාණවාදය,constructivism
අභිනිවේශනය,bigotry
අභිනිවේශය,perseveration|pertinacity
අභිනේතා,ballerina
අභිප්‍රාය,absicht|aim|cause|design|desire|drift|effect|idea|import|intent|intention|meaning|motive|objective|point|purport|purpose|resolution|scope|sense|sentiment|significance|signification|will
අභිප්‍රායනය,motivation
අභිප්‍රායපූර්ණත්වය,purposefulness
අභිප්‍රායවාදය,intentionalism
අභිප්‍රායික,intentional
අභිප්‍රෙයතාව,desirability
අභිප්‍රේක්ෂක,overseer
අභිප්‍රේත,intentional|preferential
අභිප්‍රේතය,import|preference
අභිප්‍රේරණය,motivation
අභිප්‍රේරිත,motivated
අභිපාතය,collapse
අභිපිණ්ඩය,agglomeration
අභිපිණ්ඩිතය,agglomerate
අභිපිහිත,induplicate
අභිපූජකයෝ,cult
අභිභවනය,conquest
අභිභවනවා,vanguish|vanquish
අභිමත,arbitrary|craved|desirable|desired|discretionary|welcome|wished
අභිමතය,choice|desire|discretion|pleasure|preference|will
අභිමතානුකූල,arbitrary
අභිමතානුසාරී,discretionary
අභිමතාර්ථය,aim|goal|object|purpose
අභිමතිය,discretion
අභිමන්තෘ,monitor
අභිමානය,claim|arrogance|conceit|haughtiness|pride
අභිමානවත්,cavalier
අභිමානී,proud
අභිමුඛ,facing|present|viva-voce
අභිමුඛනය,confrontation
අභිමුඛය,front|obverse
අභිමුඛව,presence
අභියාචකයා,appellant
අභියාචන,appellate
අභියාචනය,appeal|appellation|plea|request
අභියෝගකරුවා,challenger
අභියෝගය,challenge|demand
අභියෝග්‍යතාව,aptitude
අභියෝගී,challenging
අභියෝජනාව,resolution
අභිරංගය,ballet
අභිරක්ෂක,curator
අභිරතිය,concupiscence
අභිරමණය,delighting|enjoying
අභිරහස,mystery
අභිරහස්,mysterious|mystery
අභිරුව,tastes
අභිරුවකර,preferable
අභිරුවය,appetite|desire|guto|interest|longing|penchant|predilection|preference|taste|zest
අභිරූප,beautiful|handsome
අභිරූපක,mimic
අභිරූපණය,mime|pantomime
අභිරූපණරූපී,mimic
අභිරෝහක,scandent|scandentes
අභිලක්ෂණය,character
අභිලග්න,adnascent|adnate|adnation
අභිලම්බ,normal
අභිලම්බය,normal
අභිලාශය,aspiration
අභිලාෂය,ambition|appeitite|aspiration|covetousness|desire|longing|relish|yearning
අභිලිඛිත,inscribed
අභිලේඛන,records
අභිලේඛනය,epigraphy|inscription|record
අභිවත්තය,nous
අභිවර්තනය,epistrophe
අභිවර්තී,epistrophic
අභිවර්ධනය,advancement|culture|evolution
අභිවහනය,advection|performance
අභිවාදනය,cult|greetings|obeisance|respects|salute|veneration|worshipping
අභිවාහක,performer
අභිවාහ්‍ය,performative
අභිවාහී,advective|afferent
අභිවෘත්තිය,career
අභිවෘද්ධිය,betterment|boost|improvement|progress|uplift|weal|welfare
අභිවේචනය,censoring
අභිවේදනාව,transpathy
අභිශාපය,anathema
අභිශුන්‍ය,annul|null
අභිශුන්‍යතාව,nullity
අභිශුන්‍යනය,annulment
අභිශූන්‍ය,null
අභිශූන්‍යතාව,nullity
අභිශූන්‍යය,null|void
අභිශෝෂණය,exsiccation
අභිෂික්ත,consecrated
අභිෂික්තත්‍රාතා,messiah
අභිෂේකය,annointment|anointment|consecration|coronation
අභිෂේකලත්,consecrated
අභිසංගමය,association
අභිසංස්කරණවාදය,constructivism
අභිසක්ෂ්‍යාකරු,deponent
අභිසමය,comprehension|realization
අභිසරණ,converging
අභිසරණය,convergence|convergency
අභිසර්ග,epigamic
අභිසර්පණය,nutation
අභිසර්පනය,nutation
අභිස්තරණතාව,dilatancy
අභිස්‍යන්දනය,adfluxion|affluxion|afluxion
අභිස්‍රාවය,afflux
අභිසාක්ෂ්‍යකරු,deponent
අභිසාක්ෂ්‍යය,deposition
අභිසාරි,convergent
අභිසාරිකාව,courtesan
අභිසාරිතාව,convergence|convergency
අභිසාරී,convergent
අභිසාරීතාව,convergence
අභිසෘතය,convergent
අභිහාරී,adient
අභීක්ෂක,detective
අභීක්ෂණය,detection
අභීත,fearless
අභීතව,courageously
අභීප්සාව,appetition|concupiscence
අභීරු,fearless
අභීෂ්ටය,ideal|idol
අභූත,absurd|apocryphal|baseless|false|fictitious|non-existent|portentous|unreal|unsubstantial
අභූතය,absurdity
අභූතරූපතාව,absurdity
අභූතරූපදර්ශනය,phantasmagoria
අභූතරූපය,phantasm|phantom
අභූතරූපී,absurd
අභූතාත්මක,chimerical
අභූමික,non-praedial
අභේද්‍යු,identical|impentrable|indivisible|inseparable|unshakable
අභෞතිකතාව,immateriality
අභෞතිකවාදය,immaterialism
අම,ambrosia|nectar
අමංගල,inauspicious
අමත,immortality|nibbana
අමතක,forgotten
අමතකවීම,forgetting
අමතනවා,address|call|greet|phone
අමතන්නා,addresse|addressor|caller
අමතර,accessory|additional|collateral|excess|extra|incidental|reserve|secondary|spare
අමතරය,accessory
අමතරව,additionally|also|besides|extra
අමතේස්ත,amethyst
අමදනවා,sweep
අමද්‍යපානය,temperance
අමද්‍යු,non-alcoholic
අමද්‍යුප,teetotal
අමද්‍යුපවාදය,teetotalism
අමද්‍යුපාන,teetotal
අමද්‍යුපානය,teetotalism
අමදිනවා,sweep
අමධුර,unpleasant|unsavoury
අමන,foolish|silly|stupid|tomfool|unrefined|vacuous|vapid
අමනයා,ament|berk|boob|fool|idiot|spooney|spoony|tomfool|twerp
අමනස්‍යය,amentia
අමනාපය,animosity|disapproval|disinclination|dislike|displeasure|dissatisfaction|dudgeon|offence|reluctance|resentment|umbrage
අමනුෂ්‍ය,inhuman|unearthly|unnatural|weird
අමනුෂ්‍යකම,inhumanity
අමනුෂ්‍යයා,demon|spirit
අමනෝඥ,awkward|disagreeable|inelegant|mindless|objectionable|obnoxious|unpleasant
අමනෝඥකම,inelegence
අමර,god|immortal
අමරණීය,deathless|immortal|undying
අමරණීයතාව,inevitability
අමර්ෂය,intolerance
අමරාව,cab
අමල,clean|stainless
අම්පිගස්ත්‍රිය,amphigastrium
අම්පිතීසිය,amphithecium
අම්බර,cloth|sky
අම්බර්,umber
අම්බලම,ambalama
අම්බු,water
අම්බුජ,lotus|water-born
අම්මන්ඩි,skirt
අම්මය,aqueous
අම්මා,ma|mama|mamma|mother|mum|mummy
අම්ල,acidity|acids
අම්ලකර,oxygen
අම්ලතාමානය,acidometer
අම්ලනය,acidylation
අම්ලමානය,acidometer
අම්ලමිතිය,acidimetry
අම්ලය,acid
අමා,eathless|immortal
අමාත්‍ය,ministerial
අමාත්‍යංශය,ministry
අමාත්‍යකය,ministry
අමාත්‍යයා,courtier|minister
අමාත්‍ර,asyllabical
අමාත්‍රඥතාව,intemperance
අමානනය,non-metering
අමාරසය,nectar
අමාර්ගගාමී,aberrant
අමාර්තකය,ambrosiac
අමාරු,abstruse|arduous|bad|complicated|cumbersome|difficult|hard|heavy|laborious|severe|uphill
අමාරුකම,heaviness
අමාරුකාර,diehard|oily
අමාරුකාරයා,crook
අමාරුව,difficult|embarassment|embarrassment|hardship|pickle|predicament|pressure|push|quandary|rub|scrape|trouble
අමාරුවෙන්,arduously|barely|charily|hard|hardy|scarcely
අමාවක,new-moon
අමිතුරු,inimical|unfriendly
අමිල,invaluable|priceless
අමිශ්ර්ය,immiscible
අමිශ්‍ය,immiscible
අමිශ්‍ර,genuine|immiscible|net|nett|pure|raw|sheer|simple|unadulterated
අමිහිර,cloyment|bitter
අමිහිරි,cloying|bitter|harsh|jarring|pungent|rasping|rough|scabrous|strident|unpalatable|unpleasant
අමිහිරිබව,dissonance
අමීබාභ,amoeboid
අමු,crude|crude|paspalum|raw|scrobiculatum|sheer|unbleached|uncooked|underdone|unripe
අමුක්කරා,somnifera|withania
අමුඛ,astomatous
අමුඩය,span-cloth
අමුණ,anicut|dam|embankment|weir
අමුණනය,clipper
අමුණනලද,strung
අමුණනවා,adhibit|clip|affix|annex|append|articulate|attach|bead|compose|engage|hitch|link|string|tack
අමුණුම,affixture
අමුණුව,lacing
අමුත්ත,novelty|wonder
අමුත්තා,caller|guest|stranger|visitant|visitor
අමුතු,fey|fresh|new|odd|original|other|outre|peculiar|strange
අමුතුවෙන්,afresh|anew
අමුද්‍රව්‍ය,staple
අමුබව,rawness
අමුභාණ්ඩ,green
අමුර්ත,abstract
අමුර්තනය,abstraction
අමූත්‍රතාව,anuria
අමූර්ත,abstract
අමූර්තන,abstractions
අමූර්තනය,abstraction
අමූර්තනවාදය,abstractionism
අමූර්තනවාදියා,abstractionist
අමූර්තනවාදී,abstractionist
අමූර්තනාභාසය,abstractionism
අමූර්තිවාදය,idealism
අමූල,baseless|groundless
අමූලක,chimerical
අමූල්‍ය,invaluable|non-monetary|pricleless
අමූලික,baseless|causeless|groundless|unfounded
අමෘත,immortal|nectar-like
අමෘතත්වය,beatitude
අමෘතමය,ambrosial
අමෘතය,ambrosia|elite|elixir|immortality|nectar
අමෙන්ටිප්ලෝරේ,amentiflorae
අමෙරිකානුවා,yankee
අමෙරිකාව,america
අමෛත්‍රී,unfriendly|unkind
අමොක්,amok
අමෝඝ,fruitful|unfailing
අමෝච්‍ය,irredeemable
අඹ,cloud|mango|water|wife
අඹතේස්ත,amethyst
අඹනවා,chase|driveaway|mould
අඹයාළුවා,buddy
අඹර,cloth|sky
අඹරනය,muller
අඹරනවා,bruise|champ|crush|grind|mill|twist
අඹරන්නා,grinder
අඹරාව,canopy|cradle|hood|tilt
අඹුව,wife|woman
අය,charges|credit|gate|income|person|persons|receipt|receipts|revenue
අයකරනවා,levy
අයකරන්නා,collector
අයකැමි,collector|cashier
අයකැමියා,cashier
අයකිරීම,charge|gate
අයඩපෝම්,iodoform
අයඩයිඩ්,iodide
අයඩෆෝම්,iodoform
අයඩින්,iodine
අයඩිමිතිය,iodimetry|iodometry
අයඩියාව,iodism
අයඩේට්,iodate
අයඩොක්සිල්,iodoxyl
අයත්,included
අයත්නික,aconative
අයත්බව,ownership
අයථා,anomalous|illicit|unfit|unsuitable|wrong
අයථාබන්ධ,apocryphal
අයථාභාවිතය,abuse
අයදින,beseeching
අයදිනවා,appeal|apply|ask|beg|beseech|crave|petition|plead|request|urge
අයදුම,application|petition|request|suit
අයදුම්කරු,applicant|petitioner
අයදුම්කරුවා,applicant|examinee
අයදුම්කාරයා,applicant|petitioner
අයදූ,begged
අයන,ion|ions|path|way
අයනගෝලය,ionosphere
අයනය,circuit|course|ion|solstice
අයනවර්තනය,ionotropy
අයන්,iodine|iron
අයනාංශකය,longitude
අයනාංශය,precession
අයනාන්තය,solstice
අයනැක්,ironac
අයනික,ionic
අයනීකරණ,ionisation
අයනීකරණය,ionisation|ionization
අයනීකරනවා,ionise|ionize
අයනීකාර,ionizing
අයනීකෘත,ionised|ionized
අයපත,bill
අයබද්ද,impost|tax
අයබර,payload
අයභාරය,revenue
අයයෝගය,disaster|misfortune
අයවැය,budget
අයවැයකරණය,budgetting
අයවැයකරය,budget
අයශ්චුම්බකත්වය,ferromagnetism
අයස,disgrace|disgraceful|disrespect|scandalous
අයස්කාන්ත,magnetic
අයස්කාන්තය,lodestone|magnet
අයස්ථාභූත,apocryphal
අයසොඔක්ටේන්,iso-octane
අයහපත,evil
අයහපත්,bad|crummy|evil|shady|unwholesome
අය්‍යෝ,alas
අයාත්නික,aconative
අයාන්ත්‍රික,amechanical
අයාලකම,vagrancy
අයාලය,vagrant
අයාලයා,tramp|vagrant|tramper
අයාලෙ,stray
අයාවත,unclaimed
අයාසය,stress
අයැදියා,besought
අයැදුම,appeal|craving|prayer
අයි-එච්-පී,IHO|IHP
අයි-බී-ජී,IBG
අයිකනොස්කෝපය,iconoscope
අයිකිනයිට්,aikinite
අයිකොනොට්‍රෝනය,iconotron
අයිගෙන්ඩම්,eigendom
අයිඩෝග්‍රාපිය,eidograph
අයිතම,item
අයිත්තම්,array
අයිති,appertinent|appropriate|belonging|owned|vested
අයිතිකරගැනීම,acquirement|appropriation
අයිතිකරු,owner|proprietor
අයිතිකාරයා,holder|owner|possessor|proprietor
අයිතිකාරිය,proprietress
අයිතිය,acquirement|claim|holding|interest|ownership|possession|property|proprietorship|right|status|title
අයිතිවාසිකම,claim|ownership|right
අයිතිවාසිකම්,belongings|interests|rights
අයිතිවෙනවා,belong|own
අයින,border|brink|edge|edging|ledge|margin|shoal|side|skirt|verge
අයින්ස්ටයින්,einstein
අයින්ස්ටෙලුම,einstellung
අයිනාදන්,stealing
අයිනු,ainu
